t_sec,frame_idx,imu_enabled,drive_enabled,learn_enabled,error,deriv,lane_center_x,rows_seen,line_lost,gyro_z,accel_x,accel_y,steer,speed,lm,rm,learner_state,learner_action,reward
0.0556,1,1,1,0,0.0933,0.0933,164,4,0,-27.802,-12812,-748,0.0381,0.206,0.2441,0.1679,,,
0.1561,2,1,1,0,0.0899,0.0899,163,4,0,-19.863,-17216,3572,0.0329,0.2065,0.2395,0.1736,,,
0.2556,3,1,1,0,0.0879,0.0879,163,4,0,-29.161,-12748,-3792,0.0295,0.2069,0.2364,0.1774,,,
0.3555,4,1,1,0,0.0957,0.0957,164,4,0,-20.939,-16040,-4252,0.0305,0.2068,0.2373,0.1763,,,
0.4639,5,1,1,0,0.0886,0.0886,163,4,0,-15.535,-13780,-672,0.0348,0.2063,0.2412,0.1715,,,
0.5604,6,1,1,0,0.0784,0.0784,161,4,0,-20.978,-11992,-4632,0.0308,0.2068,0.2375,0.176,,,
0.6568,7,1,1,0,0.0608,0.0608,159,4,0,-18.978,-11944,-3244,0.0312,0.2067,0.2379,0.1755,,,
0.7552,8,1,1,0,0.039,0.039,155,4,0,-15.703,-13060,-924,0.0208,0.2078,0.2286,0.187,,,
0.8557,9,1,1,0,-0.0013,-0.0013,149,4,0,-12.397,-13644,-3172,0.0128,0.2087,0.2215,0.1958,,,
0.9577,10,1,1,0,-0.0418,-0.0418,143,4,0,-4.291,-22284,7228,-0.0015,0.2098,0.2084,0.2113,,,
1.0562,11,1,1,0,-0.032,-0.032,145,4,0,-0.985,-12380,-3716,-0.0169,0.2082,0.1913,0.2252,,,
1.1557,12,1,1,0,-0.0399,-0.0399,144,4,0,12.267,-14868,-2140,-0.0101,0.2089,0.1989,0.219,,,
1.2579,13,1,1,0,0.1691,0.1691,175,4,0,2.625,-11488,-3792,-0.0154,0.2084,0.193,0.2238,,,
1.3582,14,1,1,0,0.1224,0.1224,168,4,0,-21.466,-11296,724,0.0629,0.2034,0.2663,0.1405,,,
1.4555,15,1,1,0,-0.0823,-0.0823,137,4,0,-29.565,-15372,-1244,0.0424,0.2055,0.248,0.1631,,,
1.5574,16,1,1,0,0.123,0.123,168,4,0,0.855,-14516,-336,-0.0327,0.2066,0.1738,0.2393,,,
1.6575,17,1,1,0,0.1501,0.1501,172,4,0,-4.55,-15184,-2040,0.0482,0.2049,0.2531,0.1568,,,
1.7534,18,1,1,0,0.122,0.122,168,4,0,-41.313,-12852,-316,0.0509,0.2047,0.2555,0.1538,,,
1.8551,19,1,1,0,0.0678,0.0678,160,4,0,-30.84,-12840,-676,0.0419,0.2056,0.2475,0.1636,,,
1.9556,20,1,1,0,0.0232,0.0232,153,4,0,-22.916,-9600,-484,0.022,0.2077,0.2297,0.1857,,,
2.0571,21,1,1,0,-0.0106,-0.0106,148,4,0,-5.466,-11920,-2252,0.0081,0.2092,0.2172,0.2011,,,
2.1572,22,1,1,0,-0.0423,-0.0423,143,4,0,6.129,-13476,-1516,-0.0029,0.2097,0.2068,0.2126,,,
2.2548,23,1,1,0,-0.0408,-0.0408,143,4,0,14.045,-12036,-2032,-0.0138,0.2085,0.1947,0.2224,,,
2.3543,24,1,1,0,-0.0321,-0.0321,145,4,0,15.832,-12844,-2220,-0.0128,0.2087,0.1959,0.2214,,,
2.4582,25,1,1,0,-0.0189,-0.0189,147,4,0,-0.68,-13276,-1916,-0.013,0.2086,0.1956,0.2216,,,
2.5561,26,1,1,0,-0.0066,-0.0066,149,4,0,-1.084,-16100,-3840,-0.0078,0.2092,0.2014,0.217,,,
